Name,Purity,,,,,,,,,,,,,
pandas._config.config._get_single_key.116.0,Impure,,,,,,,,,,,,,
pandas._config.display.detect_console_encoding.17.0,Impure,,,,,,,,,,,,,
pandas._testing.asserters._raise.654.4,Impure,,,,,,,,,,,,,
pandas._testing.asserters.assert_dict_equal.175.0,Pure,,,,,,,,,,,,,
pandas._testing.asserters.assert_numpy_array_equal.602.0,Impure,,,,,,,,,,,,,
pandas._testing.asserters.is_class_equiv.361.4,Pure,,,,,,,,,,,,,
pandas._typing.readline.237.4,Pure,,,,,,,,,,,,,
pandas.conftest._create_series.738.0,Impure,,,,,,,,,,,,,
pandas.conftest.any_numpy_dtype.1649.0,Impure,,,,,,,,,,,,,
pandas.conftest.datapath.1152.0,Impure,,FP !!!,,@pytest.fixture,,,,,,,,,
pandas.core._numba.executor.generate_shared_aggregator.16.0,Impure,,FP !!!,see O12,"def datapath(strict_data_files: str) -> Callable[..., str]:",,,,,,,,,
pandas.core.apply.__init__.991.4,Impure,,,,"    BASE_PATH = os.path.join(os.path.dirname(__file__), ""tests"")",,,,,,,,,@functools.lru_cache(maxsize=None)
pandas.core.apply.values.638.4,Impure,property,,,,,,,,,,,,def generate_shared_aggregator(
pandas.core.arrays._mixins._where.362.4,Impure,,,,    def deco(*args):,,,,,,,,,"    func: Callable[..., Scalar],"
pandas.core.arrays.arrow.array.__len__.565.4,Impure,,,,"        path = os.path.join(BASE_PATH, *args)",,,,,,,,,"    nopython: bool,"
pandas.core.arrays.arrow.array._dt_floor.2156.4,Impure,,,,        if not os.path.exists(path):,,,,,,,,,"    nogil: bool,"
pandas.core.arrays.arrow.array._dt_round.2164.4,Impure,,,,            if strict_data_files:,,,,,,,,,"    parallel: bool,"
pandas.core.arrays.arrow.array.convert_fill_value.802.8,Impure,,,,                raise ValueError(,,,,,,,,,):
pandas.core.arrays.arrow.array.floordiv_compat.111.4,Impure,,,,"                    f""Could not find file {path} and --strict-data-files is set.""",,,,,,,,,"    """""""
pandas.core.arrays.arrow.array.predicate.2031.20,Impure,lambda,,,                ),,,,,,,,,    Generate a Numba function that loops over the columns 2D object and applies
pandas.core.arrays.arrow.extension_types.__hash__.100.4,Impure,,,,"            pytest.skip(f""Could not find {path}."")",,,,,,,,,    a 1D numba kernel over each column.
pandas.core.arrays.base._where.1530.4,Impure,,,,        return path,,,,,,,,,
pandas.core.arrays.base.nbytes.527.4,Impure,property,,,,,,,,,,,,    Parameters
pandas.core.arrays.boolean.__from_arrow__.103.4,Impure,,,,    return deco,,,,,,,,,    ----------
pandas.core.arrays.boolean.coerce_to_array.145.0,Impure,,,,,,,,,,,,,    func : function
pandas.core.arrays.categorical._encode_with_my_categories.2154.4,Impure,,,,,,,,,,,,,        aggregation function to be applied to each column
