Name,Purity,,,,
sklearn._build_utils.pre_build_helpers.basic_check_build.61.0,Impure,,,,
sklearn._config.get_config.32.0,Impure,,,,
sklearn._loss.link.includes.30.4,Impure,,,,
sklearn.base.decorator.1133.4,Pure,,What about this? Is this truely pure?,def decorator(fit_method):,
sklearn.base.get_indices.808.4,Impure,,,    @functools.wraps(fit_method),
sklearn.base.score.993.4,Pure,,,"    def wrapper(estimator, *args, **kwargs):",
sklearn.calibration.__init__.274.4,Pure,,,"        global_skip_validation = get_config()[""skip_parameter_validation""]",
sklearn.calibration.grad.881.4,Impure,,,,
sklearn.cluster._affinity_propagation._more_tags.469.4,Impure,,,        # we don't want to validate again for each call to partial_fit,
sklearn.cluster._affinity_propagation.fit.473.4,Impure,,,        partial_fit_and_fitted = (,
sklearn.cluster._affinity_propagation.predict.536.4,Impure,,,"            fit_method.__name__ == ""partial_fit"" and _is_fitted(estimator)",
sklearn.cluster._birch.radius.354.4,Impure,property,,        ),
sklearn.cluster._dbscan.fit_predict.423.4,Impure,,,,
sklearn.cluster._hdbscan.hdbscan._get_finite_row_indices.395.0,Impure,,,        if not global_skip_validation and not partial_fit_and_fitted:,
sklearn.cluster._kmeans.fit.1444.4,Impure,,,            estimator._validate_params(),
sklearn.cluster._kmeans.predict.1070.4,Impure,,,,
sklearn.cluster._optics._xi_cluster.929.0,Impure,,,        with config_context(,
sklearn.cluster._spectral.fit.655.4,Impure,,,            skip_parameter_validation=(,
sklearn.cluster._spectral.spectral_clustering.196.0,Impure,,,                prefer_skip_nested_validation or global_skip_validation,
sklearn.compose._column_transformer._transformers.253.4,Impure,property,,            ),
sklearn.compose._column_transformer._validate_transformers.415.4,Impure,,,        ):,
sklearn.compose._column_transformer.named_transformers_.465.4,Impure,property,,"            return fit_method(estimator, *args, **kwargs)",
sklearn.covariance._elliptic_envelope.score_samples.208.4,Impure,,,,
sklearn.covariance._empirical_covariance.score.251.4,Impure,,,    return wrapper,
sklearn.covariance._shrunk_covariance.shrunk_covariance.111.0,Impure,,,,
sklearn.datasets._base.get_data_home.41.0,Impure,,,,
sklearn.datasets._base.load_breast_cancer.711.0,Impure,,,,
sklearn.datasets._base.load_sample_images.1231.0,Impure,,,,
sklearn.datasets._base.load_wine.460.0,Impure,,,,
sklearn.datasets._openml.wrapper.91.8,Impure,,,,
sklearn.datasets._samples_generator.make_blobs.877.0,Impure,,,,
sklearn.datasets._species_distributions.construct_grids.111.0,Impure,,,,
sklearn.datasets._svmlight_format_io._load_svmlight_file.36.4,Pure,,,,
sklearn.decomposition._dict_learning._transform.1262.4,Impure,,,,
sklearn.decomposition._dict_learning._update_dict.458.0,Impure,,,,
sklearn.decomposition._dict_learning.dict_learning.1086.0,Impure,,,,
sklearn.decomposition._factor_analysis.get_covariance.342.4,Impure,,,,
sklearn.decomposition._factor_analysis.get_precision.358.4,Impure,,,,
sklearn.decomposition._factor_analysis.score_samples.386.4,Impure,,,,
sklearn.decomposition._kernel_pca._more_tags.560.4,Impure,,,,
sklearn.decomposition._lda._e_step.430.4,Impure,,,,
sklearn.decomposition._lda._em_step.496.4,Impure,,,,
sklearn.decomposition._nmf._n_features_out.1298.4,Impure,property,,,
sklearn.decomposition._pca.fit.417.4,Impure,,,,
sklearn.decomposition._pca.score.678.4,Impure,,,,
sklearn.decomposition._truncated_svd.__init__.174.4,Pure,,,,
sklearn.discriminant_analysis._solve_eigen.413.4,Impure,,,,
sklearn.dummy._more_tags.414.4,Pure,,,,
sklearn.dummy._more_tags.648.4,Pure,,,,
sklearn.ensemble._bagging._set_oob_score.1245.4,Impure,,,,
sklearn.ensemble._bagging._validate_y.507.4,Impure,,,,
sklearn.ensemble._gb.__init__.1158.4,Pure,,,,
sklearn.ensemble._gb._fit_stage.193.4,Impure,,,,
sklearn.ensemble._gb._staged_raw_predict.682.4,Impure,,,,
sklearn.ensemble._gb_losses.__init__.33.4,Pure,,,,
sklearn.ensemble._gb_losses.__init__.505.4,Pure,,,,
sklearn.ensemble._gb_losses._update_terminal_region.354.4,Impure,,,,
sklearn.ensemble._gb_losses.negative_gradient.57.4,Pure,abstract,,,
sklearn.ensemble._hist_gradient_boosting.gradient_boosting._get_loss.1549.4,Impure,,,,
sklearn.ensemble._hist_gradient_boosting.grower.__init__.100.4,Pure,,,,
sklearn.ensemble._iforest._parallel_args.260.4,Pure,,,,
sklearn.ensemble._stacking.fit.164.4,Impure,,,,
sklearn.ensemble._voting._weights_not_none.60.4,Impure,property,,,
sklearn.externals._arff.__init__.326.4,Pure,,,,
sklearn.externals._arff.__init__.408.4,Pure,,,,
sklearn.externals._packaging.version.__str__.148.4,Impure,,,,
sklearn.feature_extraction._dict_vectorizer.fit_transform.290.4,Impure,,,,
sklearn.feature_extraction._dict_vectorizer.transform.356.4,Impure,,,,
sklearn.feature_extraction._hash._iteritems.15.0,Impure,,,,
sklearn.feature_extraction.image.transform.595.4,Impure,,,,
sklearn.feature_extraction.text._get_hasher.906.4,Impure,,,,
sklearn.feature_extraction.text.inverse_transform.1433.4,Impure,,,,
sklearn.feature_extraction.text.strip_accents_ascii.153.0,Impure,,,,
